# United Kingdom
# from http://www.rjruss.info/2010/12/free-countries-of-world-in-polygon-kml.html
0.52826786 51.48445466
0.6003048 51.46796988
0.64547 51.40466625
0.68650109 51.38657949
0.88938277 51.35950104
1.0149565 51.35970775
1.25711226 51.37510733
1.37348758 51.37471975
1.41493208 51.36327342
1.41565555 51.31082185
1.3975688 51.18204418
1.36552941 51.15548249
1.04441206 51.04727204
0.97857629 50.97166942
0.96017948 50.9258841
0.77238732 50.93397146
0.68433068 50.88552481
0.53229862 50.8534079
0.4147089 50.81919811
0.29972883 50.77597077
0.20503177 50.76305166
-0.20388384 50.81436636
-0.45079383 50.81018057
-0.78526954 50.76545462
-0.87136247 50.77281851
-1.00060523 50.81560659
-1.13287106 50.84459707
-1.28508399 50.85730948
-1.41644548 50.89689362
-1.33448666 50.82082591
-1.51674944 50.74744538
-1.60082699 50.73284679
-1.68790178 50.73514639
-1.86603044 50.71525096
-2.03108497 50.72537954
-2.0062286 50.67323802
-1.96204525 50.62776276
-1.9979087 50.60802237
-2.0358392 50.60306143
-2.35013526 50.63742626
-2.39468035 50.63091503
-2.43343767 50.59923737
-2.54774594 50.6162906
-2.65885027 50.66972403
-2.77693091 50.70558747
-2.90087684 50.72243399
-2.99939796 50.71659455
-3.40459286 50.63241364
-3.48544064 50.54797435
-3.52587745 50.42818838
-3.58434933 50.32183828
-3.67976986 50.23993114
-3.7933805 50.22923412
-3.90022152 50.28592316
-4.10341326 50.348555
-4.17253048 50.39082632
-4.19457048 50.39330679
-4.21725644 50.3781656
-4.29696733 50.35909699
-4.37946876 50.35821849
-4.50669613 50.34137198
-4.72797462 50.29049653
-4.81737484 50.25595083
-5.00950782 50.16076284
-5.04862688 50.13435619
-5.11851925 50.03834138
-5.22525692 50.02139151
-5.32282203 50.08293814
-5.43397803 50.10443553
-5.55123186 50.08340323
-5.62210609 50.05069204
-5.65515316 50.07722789
-5.65623837 50.13187572
-5.5706622 50.19696219
-5.34230404 50.24615815
-5.14177365 50.37372142
-5.04345924 50.45149445
-5.00444353 50.49526439
-4.95638445 50.52316966
-4.89357174 50.53371166
-4.86127397 50.58202912
-4.58291887 50.77638418
-4.55997453 50.82092927
-4.54609941 50.90069184
-4.52307756 50.97745718
-4.29650224 51.02716991
-4.1881626 51.18850373
-4.15839698 51.20131949
-3.84234392 51.23093008
-3.60793962 51.22855296
-3.37508562 51.19697866
-3.2557389 51.19413646
-3.13597877 51.20504019
-3.04203101 51.24860342
-2.88126563 51.4056481
-2.79083188 51.47479116
-2.68722063 51.53726797
-2.59030148 51.60860729
-2.4330501 51.74071809
-2.53937436 51.69519115
-2.6676611 51.62299917
-2.74215268 51.58108959
-2.97852068 51.5388441
-3.08037493 51.49579763
-3.25878781 51.39849091
-3.2931268 51.39045523
-3.56236101 51.41381297
-3.76271054 51.53995515
-3.89076474 51.59163158
-3.94365556 51.59752269
-3.99835507 51.58212311
-4.115273 51.56641348
-4.23456804 51.56910065
-4.1736932 51.62736583
-4.09103675 51.65989615
-4.27616757 51.68253042
-4.32763729 51.70025544
-4.38629005 51.74107982
-4.53150082 51.74805614
-4.60077308 51.73764334
-4.71761349 51.6836673
-4.90227922 51.62625479
-5.12474626 51.70583649
-5.16833533 51.74071809
-5.16722429 51.80805248
-5.20060727 51.86138255
-5.26230893 51.88019278
-5.18334734 51.9496459
-5.088056 51.99589631
-4.87850806 52.04183666
-4.56111142 52.15089977
-4.38313778 52.19733104
-4.21772152 52.27742951
-4.1493536 52.32628958
-4.09974423 52.39313304
-4.05054826 52.47514354
-3.98031999 52.54175446
-4.04842953 52.55761913
-4.07891863 52.60784862
-4.07070207 52.65885326
-4.03923113 52.70407014
-4.06744646 52.76075918
-4.11754676 52.82003205
-4.11473039 52.8661791
-4.10147539 52.91547842
-4.22914201 52.91284292
-4.35647274 52.89739167
-4.47181454 52.8624584
-4.58369402 52.81491608
-4.6830678 52.80613109
-4.68146583 52.84416494
-4.63831601 52.89113882
-4.52566138 52.95821483
-4.40510027 53.01381867
-4.36220883 53.05603832
-4.32841244 53.10513093
-4.26857113 53.14450837
-4.11106137 53.21892243
-3.809271 53.30266409
-3.76420915 53.30759919
-3.64587012 53.29788402
-3.52959815 53.31054475
-3.42771806 53.34067211
-3.32619971 53.3471575
-3.09758318 53.26031525
-3.16558936 53.39469982
-3.06471697 53.42686839
-2.91857602 53.3053771
-2.86416073 53.29256135
-2.74951657 53.31018301
-2.79372576 53.33069855
-2.84540219 53.33193879
-2.91307248 53.35023225
-2.96996823 53.38919628
-3.06461361 53.51285798
-3.05944597 53.58623851
-2.99567725 53.6625646
-2.92511308 53.7327412
-2.98430844 53.74674551
-3.03179908 53.77356558
-3.04536414 53.84384553
-3.02678646 53.90590892
-2.89984331 53.96068594
