# Northern Territory
129.70729 -14.7776
129.69388 -14.77049
129.67807 -14.76611
129.66713 -14.75663
129.6615 -14.74162
129.67078 -14.73053
129.69187 -14.7277
129.70874 -14.72423
129.68734 -14.72115
129.66763 -14.72307
129.64931 -14.71909
129.63948 -14.70882
129.63215 -14.69594
129.6375 -14.67779
129.65458 -14.66917
129.665 -14.65693
129.68362 -14.65476
129.69326 -14.6389
129.70918 -14.63288
129.73641 -14.61642
129.7445 -14.60391
129.75825 -14.59632
129.74923 -14.5847
129.7548 -14.56793
129.76762 -14.55328
129.77783 -14.54202
129.76002 -14.54549
129.74389 -14.55108
129.72497 -14.55623
129.70677 -14.56117
129.69276 -14.56759
129.67636 -14.57781
129.65522 -14.57956
129.63664 -14.57423
129.62513 -14.56509
129.63992 -14.5516
129.62367 -14.55897
129.60642 -14.56823
129.58509 -14.56633
129.56816 -14.56312
129.55705 -14.55317
129.53621 -14.54963
129.5195 -14.54335
129.51322 -14.52945
129.50245 -14.51927
129.49329 -14.50812
129.4818 -14.49653
129.46362 -14.49856
129.44834 -14.49348
129.44329 -14.47828
129.4271 -14.4741
129.42088 -14.46014
129.41654 -14.44408
129.40479 -14.43077
129.38823 -14.42103
129.36928 -14.41959
129.35982 -14.40594
129.36107 -14.38678
129.36756 -14.37105
129.37326 -14.35536
129.36842 -14.33995
129.37729 -14.32744
129.39111 -14.31923
129.40117 -14.30436
129.40969 -14.28993
129.41843 -14.27801
129.41269 -14.26197
129.41178 -14.24251
129.42175 -14.23129
129.43516 -14.22397
129.4427 -14.21121
129.45161 -14.19318
129.46823 -14.18452
129.47842 -14.16519
129.48541 -14.14806
129.49407 -14.13093
129.51132 -14.13442
129.53121 -14.134
129.54153 -14.14482
129.55056 -14.15587
129.55778 -14.17283
129.55667 -14.15293
129.55584 -14.13172
129.55395 -14.11154
129.55863 -14.09552
129.56756 -14.0827
129.58042 -14.08996
129.57734 -14.10856
129.59272 -14.09718
129.60012 -14.0811
129.60918 -14.06829
129.60731 -14.04848
129.59735 -14.03788
129.59629 -14.01786
129.60455 -14.03026
129.61696 -14.03849
129.63032 -14.04691
129.65125 -14.0449
129.66357 -14.03678
129.678 -14.03098
129.69373 -14.02187
129.70756 -14.01482
129.72419 -14.01032
129.73091 -13.99372
129.74128 -13.97581
129.74852 -13.96127
129.74693 -13.94275
129.74752 -13.92159
129.74114 -13.90545
129.73104 -13.89344
129.7152 -13.88719
129.71905 -13.8689
129.72097 -13.85023
129.73248 -13.83723
129.74217 -13.82505
129.75212 -13.81216
129.76829 -13.80267
129.77831 -13.79165
129.79622 -13.78894
129.80404 -13.77625
129.81228 -13.76193
129.79911 -13.76924
129.78629 -13.76079
129.79089 -13.73886
129.78739 -13.72151
129.78565 -13.69965
129.78848 -13.67963
129.79511 -13.6565
129.80145 -13.64275
129.80837 -13.62792
129.81664 -13.61015
129.82347 -13.59375
129.82873 -13.57697
129.83341 -13.55878
129.82914 -13.53595
129.82624 -13.51529
129.81699 -13.50362
129.82945 -13.51176
129.85343 -13.50799
129.86822 -13.50039
129.87117 -13.48177
129.87689 -13.46566
129.88483 -13.45235
129.89461 -13.44179
129.8986 -13.45821
129.89986 -13.47721
129.90029 -13.49856
129.90875 -13.5114
129.92201 -13.52101
129.93557 -13.52999
129.95172 -13.53438
129.97622 -13.5332
129.99497 -13.53551
130.01178 -13.53107
130.02952 -13.52262
130.04278 -13.51465
130.05528 -13.50133
130.06936 -13.49463
130.08251 -13.48087
130.0959 -13.46642
130.10661 -13.45666
130.11701 -13.46676
130.13378 -13.46169
130.14764 -13.45121
130.15927 -13.44026
130.16952 -13.42871
130.17894 -13.41429
130.1869 -13.39983
130.1983 -13.37547
130.21406 -13.36938
130.22186 -13.35534
130.2317 -13.34206
130.24652 -13.33542
130.26456 -13.33219
130.28203 -13.33693
130.29788 -13.34797
130.31114 -13.36119
130.30212 -13.38548
130.29106 -13.39942
130.28265 -13.41173
130.27736 -13.42813
130.29477 -13.43869
130.30723 -13.44788
130.32176 -13.46088
130.3376 -13.46791
130.32629 -13.45771
130.31581 -13.44719
130.304 -13.43538
130.28723 -13.42868
130.30162 -13.40177
130.311 -13.38847
130.3214 -13.37231
130.32138 -13.35148
130.31485 -13.33676
130.30878 -13.32022
130.29703 -13.31149
130.2815 -13.30517
130.26561 -13.29906
130.25167 -13.29263
130.24006 -13.28296
130.23214 -13.27063
130.22735 -13.25528
130.21892 -13.24187
130.20955 -13.2305
130.19963 -13.2202
130.1899 -13.20939
130.18089 -13.19828
130.17081 -13.18816
130.16196 -13.17655
130.14203 -13.17524
130.12481 -13.17144
130.11781 -13.15593
130.11855 -13.13626
130.12634 -13.12291
130.13324 -13.10834
130.12477 -13.09557
130.12006 -13.07911
130.12424 -13.06227
130.12912 -13.04223
130.13368 -13.02095
130.14001 -13.00427
130.13847 -12.98544
130.12808 -12.97549
130.13288 -12.95975
130.14102 -12.94502
130.14474 -12.92822
130.16261 -12.92513
130.17279 -12.91353
130.19296 -12.91111
130.19457 -12.92957
130.20365 -12.94079
130.21712 -12.94796
130.23751 -12.94714
130.25442 -12.94371
130.26907 -12.9375
130.2815 -12.9299
130.29399 -12.92209
130.30549 -12.91289
130.31593 -12.90193
130.33059 -12.8963
130.33917 -12.88437
130.3408 -12.86462
130.34805 -12.84741
130.35295 -12.83184
130.35737 -12.81435
130.35265 -12.79642
130.3562 -12.77709
130.35284 -12.75953
130.35583 -12.7395
130.35207 -12.72282
130.3484 -12.70504
130.34924 -12.68551
130.35457 -12.66932
130.36661 -12.67853
130.38334 -12.68188
130.39607 -12.69253
130.39847 -12.67411
130.4033 -12.65892
130.4229 -12.65768
130.42879 -12.64295
130.43976 -12.63385
130.45099 -12.64272
130.46747 -12.64626
130.4789 -12.65509
130.49194 -12.6629
130.51105 -12.6658
130.51761 -12.68009
130.51411 -12.69801
130.50534 -12.70934
130.51973 -12.70334
130.53504 -12.71363
130.5508 -12.70664
130.57196 -12.70787
130.5822 -12.71795
130.60164 -12.71865
130.61766 -12.72614
130.62851 -12.73725
130.62707 -12.75599
130.63805 -12.74446
130.6339 -12.72572
130.62036 -12.71804
130.64 -12.71326
130.65982 -12.7152
130.67236 -12.72367
130.68773 -12.72945
130.67944 -12.74523
130.69501 -12.73439
130.70532 -12.72315
130.7197 -12.71666
130.70451 -12.71117
130.69277 -12.72055
130.67863 -12.7135
130.66481 -12.70367
130.6572 -12.69041
130.63902 -12.68859
130.62834 -12.67764
130.60721 -12.67316
130.59042 -12.67655
130.57675 -12.66787
130.57184 -12.65163
130.55975 -12.64367
130.54716 -12.63588
130.54895 -12.61746
130.56135 -12.62684
130.58023 -12.62272
130.59624 -12.61804
130.60494 -12.60659
130.59199 -12.59689
130.57221 -12.59663
130.5666 -12.58146
130.56791 -12.56275
130.5728 -12.54731
130.57742 -12.53185
130.58266 -12.51684
130.59106 -12.50426
130.60359 -12.4952
130.59465 -12.48379
130.58624 -12.47189
130.58756 -12.45298
130.60611 -12.45131
130.61413 -12.43573
130.60076 -12.42844
130.5842 -12.42199
130.57779 -12.40823
130.59349 -12.40326
130.60499 -12.39469
130.61746 -12.38613
130.63649 -12.38922
130.65402 -12.39465
130.66588 -12.40321
130.67653 -12.41259
130.69894 -12.41527
