# Meuse (Maas) catchment
5.208 51.283 6011000
5.208 51.300 6011000
5.192 51.300 6011000
5.192 51.333 6011000
5.167 51.333 6011000
5.167 51.342 6011000
5.150 51.342 6011000
5.150 51.350 6011000
5.125 51.350 6011000
5.125 51.358 6011000
5.100 51.358 6011000
5.100 51.383 6011000
5.092 51.383 6011000
5.092 51.392 6011000
5.050 51.392 6011000
5.050 51.383 6011000
5.042 51.383 6011000
5.042 51.375 6011000
4.975 51.375 6011000
4.975 51.383 6011000
4.967 51.383 6011000
4.967 51.425 6011000
4.942 51.425 6011000
4.942 51.442 6011000
4.950 51.442 6011000
4.950 51.492 6011000
4.942 51.492 6011000
4.942 51.483 6011000
4.933 51.483 6011000
4.933 51.492 6011000
4.925 51.492 6011000
4.925 51.500 6011000
4.917 51.500 6011000
4.917 51.508 6011000
4.925 51.508 6011000
4.925 51.533 6011000
4.933 51.533 6011000
4.933 51.550 6011000
4.925 51.550 6011000
4.925 51.567 6011000
4.917 51.567 6011000
4.917 51.575 6011000
4.908 51.575 6011000
4.908 51.583 6011000
4.900 51.583 6011000
4.900 51.592 6011000
4.892 51.592 6011000
4.892 51.600 6011000
4.858 51.600 6011000
4.858 51.608 6011000
4.850 51.608 6011000
4.850 51.617 6011000
4.842 51.617 6011000
4.842 51.633 6011000
4.850 51.633 6011000
4.850 51.658 6011000
4.842 51.658 6011000
4.842 51.667 6011000
4.792 51.667 6011000
4.792 51.675 6011000
4.767 51.675 6011000
4.767 51.667 6011000
4.758 51.667 6011000
4.758 51.675 6011000
4.742 51.675 6011000
4.742 51.667 6011000
4.692 51.667 6011000
4.692 51.675 6011000
4.700 51.675 6011000
4.700 51.700 6011000
4.692 51.700 6011000
4.692 51.708 6011000
4.683 51.708 6011000
4.683 51.717 6011000
4.667 51.717 6011000
4.667 51.725 6011000
4.675 51.725 6011000
4.675 51.733 6011000
4.675 51.742 6011000
4.683 51.742 6011000
4.683 51.750 6011000
4.692 51.750 6011000
4.692 51.758 6011000
4.700 51.758 6011000
4.700 51.767 6011000
4.708 51.767 6011000
4.708 51.775 6011000
4.725 51.775 6011000
4.725 51.792 6011000
4.733 51.792 6011000
4.733 51.808 6011000
4.750 51.808 6011000
4.750 51.800 6011000
4.808 51.800 6011000
4.808 51.783 6011000
4.800 51.783 6011000
4.800 51.775 6011000
4.842 51.775 6011000
4.842 51.783 6011000
4.858 51.783 6011000
4.858 51.792 6011000
4.900 51.792 6011000
4.900 51.800 6011000
4.917 51.800 6011000
4.917 51.792 6011000
4.967 51.792 6011000
4.967 51.800 6011000
5.008 51.800 6011000
5.008 51.792 6011000
5.025 51.792 6011000
5.025 51.783 6011000
5.033 51.783 6011000
5.033 51.775 6011000
5.042 51.775 6011000
5.042 51.758 6011000
5.092 51.758 6011000
5.092 51.767 6011000
5.117 51.767 6011000
5.117 51.758 6011000
5.125 51.758 6011000
5.125 51.767 6011000
5.150 51.767 6011000
5.150 51.775 6011000
5.158 51.775 6011000
5.158 51.783 6011000
5.175 51.783 6011000
5.175 51.775 6011000
5.275 51.775 6011000
5.275 51.783 6011000
5.325 51.783 6011000
5.325 51.792 6011000
5.342 51.792 6011000
5.342 51.783 6011000
5.350 51.783 6011000
5.350 51.792 6011000
5.358 51.792 6011000
5.358 51.808 6011000
5.383 51.808 6011000
5.383 51.817 6011000
5.392 51.817 6011000
5.392 51.825 6011000
5.417 51.825 6011000
5.417 51.833 6011000
5.433 51.833 6011000
5.433 51.842 6011000
5.450 51.842 6011000
5.450 51.850 6011000
5.458 51.850 6011000
5.458 51.858 6011000
5.550 51.858 6011000
5.550 51.867 6011000
5.617 51.867 6011000
5.617 51.858 6011000
5.667 51.858 6011000
5.667 51.850 6011000
5.683 51.850 6011000
5.683 51.842 6011000
5.700 51.842 6011000
5.700 51.833 6011000
5.717 51.833 6011000
5.717 51.825 6011000
5.725 51.825 6011000
5.725 51.817 6011000
5.758 51.817 6011000
5.758 51.808 6011000
5.817 51.808 6011000
5.817 51.817 6011000
5.825 51.817 6011000
5.825 51.825 6011000
5.858 51.825 6011000
5.858 51.833 6011000
5.883 51.833 6011000
5.883 51.825 6011000
5.900 51.825 6011000
5.900 51.817 6011000
5.917 51.817 6011000
5.917 51.800 6011000
5.908 51.800 6011000
5.908 51.767 6011000
5.917 51.767 6011000
5.917 51.758 6011000
5.925 51.758 6011000
5.925 51.750 6011000
6.033 51.750 6011000
6.033 51.742 6011000
6.042 51.742 6011000
6.042 51.750 6011000
6.067 51.750 6011000
6.067 51.758 6011000
6.075 51.758 6011000
6.075 51.767 6011000
6.083 51.767 6011000
6.083 51.750 6011000
6.100 51.750 6011000
6.100 51.742 6011000
6.125 51.742 6011000
6.125 51.733 6011000
6.142 51.733 6011000
6.142 51.725 6011000
6.175 51.725 6011000
6.175 51.733 6011000
6.192 51.733 6011000
6.192 51.742 6011000
6.200 51.742 6011000
6.200 51.733 6011000
6.208 51.733 6011000
